Id,Código,Nombre,Categoria,Marca,Costo Base,Existencia actual,PRECIO DE VENTA DETAL,PRECIO DE Venta Mayor,fecha
469,604123,MANUBRIO RUTA OEM O/S AL RITCHEY,Repuestos,RITCHEY,20.78,0,30.00139189,25.00289189,7/20/2022
470,604190,MANUBRIO KORYAK RISE/2022 800MM/31.8/20 RISE,Repuestos,Otras,117.5999988,0,170,170,7/20/2022
471,604259,MANUBRIO DR-AL-102BT,Repuestos,GW,12.81,0,25.00341587,19.99504722,7/20/2022
472,604351,MANUBRIOS BMX MX-529 ACERO NEGRO GW,Accesorios,GW,8.68919,1,15.00623113,11.00051454,7/20/2022
473,604370,MANUBRIOS BMX MINI M MTB-AL-393 COL GW,Accesorios,GW,5.878377838,0,12.00364754,8.000472237,7/20/2022
474,604371,MANUBRIOS BMX JUNIOR S MTB-AL-395 COL GW,Accesorios,GW,7.094593216,1,12,8.5,7/20/2022
475,604373,MANUBRIOS BMX EXPERT S MX-AL-838 COL GW,Accesorios,GW,11.6351347,1,20,15,7/20/2022
476,604374,MANUBRIOS BMX EXPERT M MX-AL-839 COL GW,Accesorios,GW,11.68918965,1,20.00020349,16,7/20/2022
477,604436,MANUBRIO DOWNHILL ALUMINIO NAT C/BARR GW,Repuestos,GW,6.86,1,10.00188,8.00562,7/20/2022
478,604463,CACHOS ALUMINIO NEGROS INSTINCT ZOOM,Accesorios,Otras,12.78,1,20.00662259,16.00529808,7/20/2022
479,604472,MANUBRIO ALUMINIO GW FC-HB002 MATE,Repuestos,GW,5.64,9,10,8.5,7/20/2022
480,605092,GALAPAGO PRO TURNIX WOMEN S NEGRO,Accesorios,PRO,65.62,0,90.004392,78.744,7/20/2022
481,605246,GALAPAGOS MTB GW 192-01 NEW CENTURY,Accesorios,GW,5.27,1,10,7,7/20/2022
482,605251,GALAPAGO GW COMFORT MTB,Accesorios,GW,6.15,0,15.0027027,10.00446622,7/20/2022
483,605274,Sillin GW MTB/Ruta,Accesorios,GW,7.59,0,17.00919,9.00174,7/20/2022
484,605275,GALAPAGO MTB/RUTA GW DDO,Accesorios,GW,13.76,4,20.00337838,15,7/20/2022
485,605277,GALAPAGO MTB/CONFORT GW,Accesorios,GW,14.04,0,20.00777027,16.49763514,7/20/2022
486,605278,GALAPAGO MTB GW D373S,Accesorios,GW,13.73,0,20.00461,16.50346,7/20/2022
487,605279,GALAPAGO MTB GW D305,Accesorios,GW,13.73,3,20.00461,16.50346,7/20/2022
488,605280,GALAPAGO MTB/RUTA GW D23,Accesorios,GW,10.5,5,20.00578378,15.00194595,7/20/2022
489,605281,GALAPAGO MTB/RUTA GW D37,Accesorios,GW,13.45,3,20.00015,16.004155,7/20/2022
490,605283,GALAPAGO MTB GW D241,Accesorios,GW,10.27,0,20.00648649,15.00486486,7/20/2022
491,605284,GALAPAGO MTB/RUTA GW D37,Accesorios,GW,13.45,2,20.00015,14.99675,7/20/2022
492,605351,GALAPAGO GW COMFORT PLUS,Accesorios,GW,7.54,0,15.00567568,9.998756757,7/20/2022
493,605431,GALAPAGO MTB JUNIOR  GW VL-264-2,Accesorios,GW,7.96,1,12,10,7/20/2022
494,605471,Silin GW PRO,Accesorios,GW,6.62,0,17.00016,9.9962,7/20/2022
495,605493,GALAPAGO GW-VL1488 MTB,Accesorios,GW,9,1,15,13,7/20/2022
496,605501,FORRO GALAPAGO GEL 051 A GW GELTECH,Accesorios,GW,9.17,10,13.00306,11.004,7/20/2022
497,605571,SUSPENSION SUNTOUR 29 SF18-EPIXON-9 RL-R,Repuestos,SUNTOUR,194.69,0,300.020372,270,7/20/2022
498,605661,BICICLETA MTB 29 JACKAL 9.2 D/B 8 VEL,Bicicletas,GW,335,1,425.0011,385.0155,7/20/2022
499,605714,GALAPAGO PRO TURNIX GEL 14/152MM,Accesorios,GW,75.53333379,1,115,115,7/20/2022
500,606441,TENEDOR SUSPENSION 26 GW701 GW,Repuestos,GW,10,0,20,20,7/20/2022
501,606492,TENEDOR 26 GW 22.2 D/ROSCA P/FRENO DISCO,Repuestos,GW,20.952778,1,35.00161565,30.0043781,7/20/2022
502,606555,PALANCA REMOTO SL9SC-RLO,Repuestos,Otras,15.41,0,25.00541136,17.99637714,7/20/2022
503,606638,SUSPENSION 26 SF13-M3030 SUNTOUR,Repuestos,GW,31.27,2,60.00086041,44.99986351,7/20/2022
504,606649,SUSPENSION SUNTOUR 29P SF15-XCM-LO,Repuestos,Otras,68.73,0,150.0026366,120.0021093,7/20/2022
505,606653,SUSPENSION 27.5 SUNTOUR SF14-XCM-RL-DS,Repuestos,Otras,68.41,0,100.0087006,68.40540395,7/20/2022
506,606664,SUSPENSION 29 SUNTOUR XCM30,Repuestos,SUNTOUR,79.03,1,150.0091027,109.9977189,7/20/2022
507,606671,SUSPENSION SUNTÓUR 29 SF CONICA,Repuestos,SUNTOUR,230,1,320,290,7/20/2022
508,606672,SUSPENSION SUNTOUR 29 SF18-EPIXON-9 RL-R,Repuestos,SUNTOUR,236.33,0,320,290,7/20/2022
509,606673,"SUSPENSION SUNTOUR 27,5 SF16-RAIDON-XC A",Repuestos,SUNTOUR,179.04,1,280.000656,240,7/20/2022
510,606687,TENEDOR SUSPENSION 29 GW CH-525 (AMS) RL/O,Repuestos,Otras,45.16,1,130.002092,80.00094,7/20/2022
511,606688,TENEDOR SUSPENSION 27.5 GW  2.2 CH-860S (AMS),Repuestos,GW,64.04,0,100.004864,79.998768,7/20/2022
512,606689,TENEDOR SUSPENSION 29 GW,Repuestos,GW,66.4,0,130.0056057,100.0007369,7/20/2022
513,606693,TENEDOR SUSPENSION 29 SUNTOUR SF,Repuestos,SUNTOUR,103.14,0,200.009088,149.996502,7/20/2022
514,606697,PALANCA REMOTO RL/O 525,Repuestos,Otras,11.46,1,20.00821622,15.00043243,7/20/2022
515,606703,SUSPENSION ACERO 29 FSD-QC-58-LO M/LO,Repuestos,Otras,25.7,1,130.0042779,80.06392363,7/20/2022
516,609394,Muscle Tech Caffeine,Nutricion,Otras,10.5979,0,20.0088352,20.0088352,7/20/2022
517,701101,JUEGO DE PALANCAS ACERO P/LLANTAS,Repuestos,Otras,2.93,3,5.00737,3.50428,7/20/2022
518,702152,Kit reparacion parches,Accesorios,Otras,5.99,0,9.00297,6.99632,7/20/2022
519,702228,Llave Cono Prof 14mm,herramientas,Otras,9.54,0,15.00592063,15.00592063,7/20/2022
520,702230,Llave Cono Prof 16mm,herramientas,Otras,9.54,0,15.00592063,15.00592063,7/20/2022
521,702231,Llaves Cono Prof 17mm,herramientas,Otras,9.54,0,15.00592063,15.00592063,7/20/2022
522,702246,KIT DE LIMPIEZA TB-32950,Accesorios,SUPER B,29.77,0,45.00412629,34.99593257,7/20/2022
523,702248,KIT DE LIMPIEZA TB-3290,Accesorios,SUPER B,24.38,0,40.00007714,30.00310571,7/20/2022
524,702249,DESENGRASANTE TB'3225 SUPER B,Repuestos,SUPER B,5.14722275,1,8.003931376,6.500942333,7/20/2022
525,702260,Herramienta de Valvula TB-VC10,herramientas,Otras,6.87,0,11.00574,8.49819,7/20/2022
526,702264,LLAVE EN Y TORX 10/25/30 TB-YY30,herramientas,SUPER B,5.91,0,10.00213714,7.495691429,7/20/2022
527,702265,Juego de llaves Hexagonal,herramientas,BKS,6,0,10.008,7.5,7/20/2022
528,702272,LLAVE DOBLE TORX TB-763,herramientas,Otras,5.91,0,10.00563,8.49858,7/20/2022
529,703042,SQUAD LUBRICANTE DE CADENAS X 120 CC,Repuestos,GW,4.459459838,8,8.004730409,6.004662672,7/20/2022
